 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5001
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [27/Dec/2025 19:11:26] "[33mGET /api/presentations/1 HTTP/1.1[0m" 404 -
127.0.0.1 - - [27/Dec/2025 22:19:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:20:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:21:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:22:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:23:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:24:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:25:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:25:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:25:32] "GET /api/presentations HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:25:32] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [27/Dec/2025 22:25:34] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:25:43] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:25:43] "GET /api/presentations HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:26:19] "GET / HTTP/1.1" 200 -
